Channel,Frame Type,Frame Format,Frame ID,Direction,Length,Datas(Hex),Status,Time
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:29.836.000
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:29.836.200
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:29.836.400
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:29.836.600
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:29.836.800
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9D FF 00 00 ,Success,00:10:29.837.000
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:30.088.800
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:30.089.000
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:30.089.200
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:30.089.400
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:30.089.600
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9B FF 00 00 ,Success,00:10:30.089.800
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:30.341.600
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:30.341.900
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:30.342.100
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:30.342.300
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:30.342.500
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9D FF 00 00 ,Success,00:10:30.342.700
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:30.594.500
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:30.594.700
